編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVOMLPKPHLFFAU67CA,43,79.41,住家用,鋼筋混凝土加強磚造,62年2月7日,二層,一層 二層
RPPOMLLKPHLFFAU66CA,39,105.82,住商用,鋼筋混凝土加強磚造,66年4月4日,二層,一層 二層 騎樓
RPUNMLMKPHLFFAU17CA,24,82.14,見其他登記事項,鋼筋混凝土造,81年9月30日,八層,八層
RPUNMLMKPHLFFAU17CA,24,16.85,共有部份,鋼筋混凝土造,81年9月30日,八層,
RPVNMLMKPHLFFAU27CA,11,153.55,住家用,鋼筋混凝土造,94年3月8日,三層,一層 二層 三層 屋頂突出物
RPPNMLNKPHLFFAU76CA,21,179.14,住家用,鋼筋混凝土造,84年9月14日,三層,一層 二層 三層 屋頂突出物 見其他登記事項
RPPPMLLKPHLFFAU76CA,14,37.09,商業用,鋼筋混凝土造,91年12月2日,14,一層
RPPPMLLKPHLFFAU76CA,14,21.63,共有部份,鋼筋混凝土造,91年12月2日,十四層,
RPOOMLNKPHLFFAU76CA,22,84.53,住家用,鋼筋混凝土造,83年5月18日,七層,五層
RPOOMLNKPHLFFAU76CA,22,24.81,共有部份,鋼筋混凝土造,83年5月18日,七層,
RPWOMLLKPHLFFAU37CA,36,148.49,住商用,鋼筋混凝土造,69年8月6日,四層,一層 二層 三層 四層 屋頂突出物 騎樓
RPOPMLLKPHLFFAU66CA,40,178.77,住家用,見其他登記事項,65年1月8日,二層,一層 二層 騎樓
RPQNMLMJQHLFFAU76CA,24,44.12,見其他登記事項,鋼筋混凝土造,81年9月30日,八層,四層
RPQNMLMJQHLFFAU76CA,24,11.77,共有部份,鋼筋混凝土造,81年9月30日,八層,
RPQNMLLKPHLFFBU96EA,34,97.47,住家用,鋼筋混凝土加強磚造,70年12月26日,二層,一層 二層
RPVNMLPKPHLFFAU77EA,30,64.83,住家用,鋼筋混凝土造,75年4月2日,五層,三層
RPVNMLPKPHLFFAU77EA,30,15.46,共有部份,鋼筋混凝土造,75年4月2日,五層,
RPVNMLPKPHLFFAU77EA,30,4.58,共有部份,鋼筋混凝土造,75年4月2日,五層,
RPWOMLQLPHLFFAU97CA,,200.52,住家用,鋼筋混凝土造,105年5月30日,三層,一層 二層 三層 屋頂突出物
RPUNMLPLPHLFFAU57CA,22,49.76,住家用,鋼筋混凝土造,83年3月26日,六層,五層
RPUNMLPLPHLFFAU57CA,22,8.55,共有部份,鋼筋混凝土造,83年3月26日,六層,
RPWPMLLJQHLFFAU47CA,,250.18,農舍,鋼筋混凝土造,105年3月16日,三層,一層 二層 三層 屋頂突出物
RPXNMLNKPHLFFAU57CA,23,66.09,住家用,鋼筋混凝土造,82年9月25日,八層,二層
RPXNMLNKPHLFFAU57CA,23,17.09,共有部份,鋼筋混凝土造,82年9月25日,八層,
RPQNMLNKPHLFFAU86CA,21,69.47,住家用,鋼筋混凝土造,84年2月22日,八層,八層
RPQNMLNKPHLFFAU86CA,21,12.72,共有部份,鋼筋混凝土造,84年2月22日,八層,
RPQNMLNKPHLFFAU86CA,21,16.67,共有部份,鋼筋混凝土造,84年2月22日,八層,
RPSOMLMKPHLFFAU07CA,21,24.66,住家用,鋼筋混凝土造,84年8月19日,十一層,八層
RPSOMLMKPHLFFAU07CA,21,8.60,共有部份,鋼筋混凝土造,84年8月19日,十一層,
RPSOMLNKPHLFFAU17CA,35,105.19,住家用,鋼筋混凝土造,70年10月5日,五層,五層 屋頂突出物
RPSOMLNKPHLFFAU17CA,35,72.12,共有部份,鋼筋混凝土造,70年10月5日,五層,
RPXOMLPKPHLFFAU87CA,33,177.64,住商用,鋼筋混凝土造,72年5月24日,三層,一層 二層 三層 屋頂突出物 騎樓 地下層
RPPOMLOKPHLFFAU96CA,30,81.80,住家用,鋼筋混凝土造,75年7月22日,五層,三層
RPPOMLOKPHLFFAU96CA,30,6.89,共有部份,鋼筋混凝土造,75年7月22日,五層,
RPOOMLTKPHLFFAU37CA,29,152.34,住家用,鋼筋混凝土造,76年1月5日,二層,一層 二層 屋頂突出物
RPPOMLTKPHLFFAU47CA,22,24.29,住家用,鋼筋混凝土造,83年11月15日,十二層,四層
RPPOMLTKPHLFFAU47CA,22,6.48,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPPOMLTKPHLFFAU47CA,22,8.30,共有部份,鋼筋混凝土造,83年11月15日,十二層,
RPTOMLTKPHLFFAU87CA,26,200.28,住家用,鋼筋混凝土造,79年5月31日,三層,一層 二層 三層 屋頂突出物
RPQNMLTKPHLFFBU77EA,27,47.90,國民住宅,鋼筋混凝土加強磚造,77年10月7日,一層,一層 屋頂突出物
RPPOMLKLPHLFFAU66CA,1,241.41,住家用,鋼筋混凝土造,104年3月9日,三層,一層 二層 三層 屋頂突出物 見其他登記事項
RPROMLTKPHLFFAU67CA,21,52.19,住家用,鋼筋混凝土造,84年11月4日,十層,十層
RPROMLTKPHLFFAU67CA,21,8.21,共有部份,鋼筋混凝土造,84年11月4日,十層,
RPROMLTKPHLFFAU67CA,21,12.25,共有部份,鋼筋混凝土造,84年11月4日,十層,
