編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPVNMLQJPHLFFAP07CA,24,25.91,共有部份,鋼筋混凝土造,81年10月16日,六層,
RPVNMLQJPHLFFAP07CA,24,18.93,共有部份,鋼筋混凝土造,81年10月16日,六層,
RPUNMLRJPHLFFAP07CA,17,99.94,住家用,鋼筋混凝土造,88年9月26日,五層,二層 三層
RPUNMLRJPHLFFAP07CA,17,19.15,停車空間,鋼筋混凝土造,88年9月26日,五層,
RPUNMLRJPHLFFAP07CA,17,19.45,共有部份,鋼筋混凝土造,88年9月26日,五層,
RPQOMLNKPHLFFAP09CA,,186.38,見其他登記事項,鋼筋混凝土造,105年3月15日,三層,一層 二層 三層 屋頂突出物
RPSNMLTKPHLFFAP17CA,18,14.27,共同部份,鋼筋混凝土造,87年10月30日,十層,
RPSNMLTKPHLFFAP17CA,18,30.26,住家用,鋼筋混凝土造,87年10月30日,十層,八層
RPSNMLTKPHLFFAP17CA,18,8.87,共同部份,鋼筋混凝土造,87年10月30日,十層,
RPSNMLLLPHLFFAP09CA,1,185.77,住家用,鋼筋混凝土造,104年11月15日,三層,一層 二層 三層
RPTNMLLLPHLFFAP56CA,1,185.77,住家用,鋼筋混凝土造,104年11月15日,三層,一層 二層 三層
RPUNMLLLPHLFFAP66CA,1,211.14,住家用,鋼筋混凝土造,104年11月15日,三層,一層 二層 三層
RPVNMLLLPHLFFAP76CA,1,185.77,住家用,鋼筋混凝土造,104年11月15日,三層,一層 二層 三層
RPTNMLNKPHLFFAP66CA,9,218.67,住家用,鋼筋混凝土造,96年11月12日,三層,一層 二層 三層 電梯樓梯間
RPSOMLLKPHLFFAP09CA,10,179.73,見其他登記事項,鋼筋混凝土造,95年9月11日,三層,一層 二層 三層 電梯樓梯間
RPROMLMKPHLFFAP09CA,20,183.49,住家用,鋼筋混凝土造,84年12月25日,四層,一層 二層 三層 四層 屋頂突出物 地下層
RPUOMLOJQHLFFAP96CA,19,28.02,住家用,鋼筋混凝土造,86年5月15日,十六層,七層
RPUOMLOJQHLFFAP96CA,19,9.21,共同部份,鋼筋混凝土造,86年5月15日,十六層,
RPUOMLOJQHLFFAP96CA,19,4.42,共同部份,鋼筋混凝土造,86年5月15日,十六層,
RPOOMLLKPHLFFDP98CA,1,233.69,住家用,鋼筋混凝土造,104年7月16日,四層,一層 二層 三層 四層
RPPNMLOJQHLFFDP66CA,7,186.01,見其他登記事項,鋼筋混凝土造,98年4月6日,三層,一層 二層 三層
RPXNMLLLPHLFFDP27CA,22,109.87,住家用,加強磚造,82年12月28日,二層,一層 二層 電梯樓梯間
RPTNMLMKPHLFFBP76DA,32,201.32,住商用,鋼筋混凝土造,73年4月14日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPOOMLLKPHLFFAP78DA,22,133.93,住家用,鋼筋混凝土造,83年1月20日,三層,一層 二層 三層 電梯樓梯間
RPOOMLLKPHLFFAP78DA,22,2.47,住家用,鋼筋混凝土造,83年3月18日,四層,一層 二層 三層 四層 見其他登記事項
RPQNMLSLPHLFFFP47CA,20,203.92,住家用,加強磚造,85年3月7日,二層,一層 二層 電梯樓梯間
RPPNMLQKPHLFFDP86CA,1,167.02,住家用,鋼筋混凝土造,104年11月13日,三層,一層 二層 三層
RPQNMLQKPHLFFDP96CA,1,167.02,住家用,鋼筋混凝土造,104年11月13日,三層,一層 二層 三層
RPRNMLQKPHLFFDP07CA,1,182.88,住家用,鋼筋混凝土造,104年11月13日,三層,一層 二層 三層
RPRNMLMKPHLFFCP56CA,1,175.42,見其他登記事項,鋼筋混凝土造,104年8月11日,三層,一層 二層 三層 見其他登記事項
RPTNMLPJQHLFFAP86CA,10,228.80,住家用,鋼筋混凝土造,95年10月1日,四層,一層 二層 三層 四層
RPWNMLMKPHLFFAP86CA,7,173.32,住家用,鋼筋混凝土造,98年9月28日,三層,一層 二層 三層
RPQOMLMKPHLFFAP98CA,36,97.04,住家用,加強磚造,69年2月20日,二層,一層 二層 騎樓
RPROMLLKPHLFFAP98CA,35,100.23,住家用,加強磚造,70年3月20日,二層,一層 二層 騎樓 電梯樓梯間
RPWNMLLLPHLFFAP86CA,1,185.77,住家用,鋼筋混凝土造,104年11月15日,三層,一層 二層 三層
RPXNMLSKPHLFFAP57CA,1,198.65,住家用,鋼筋混凝土加強磚造,104年2月3日,三層,一層 二層 三層
RPUNMLPJQHLFFAP96CA,35,118.28,住家用,加強磚造,70年12月31日,二層,一層 二層 騎樓 電梯樓梯間
RPPNMLTLPHLFFBP07CA,21,49.96,住家用,鋼筋混凝土造,84年7月10日,十三層,二層
RPPNMLTLPHLFFBP07CA,21,33.21,共有部份,鋼筋混凝土造,84年7月10日,十三層,
RPXOMLTJQHLFFAP77CA,1,172.06,見其他登記事項,鋼筋混凝土造,104年6月18日,三層,一層 二層 三層 電梯樓梯間
RPUNMLSJQHLFFAP27CA,1,194.04,住家用,鋼筋混凝土造,104年6月18日,三層,一層 二層 三層 騎樓
RPSNMLTLPHLFFCP47CA,19,186.71,住家用,鋼筋混凝土造,86年10月19日,三層,一層 二層 三層 電梯樓梯間
RPPNMLKLPHLFFAP78DA,18,183.65,住家用,鋼筋混凝土造,87年5月6日,四層,一層 二層 三層 四層
RPPNMLMLPHLFFBP09DA,20,30.27,住家用,鋼筋混凝土造,85年10月5日,五層,五層
RPPNMLMLPHLFFBP09DA,20,5.89,共用部份,鋼筋混凝土造,85年10月5日,五層,
RPQNMLTKPHLFFAP17EA,26,282.49,住商用,鋼筋混凝土造,79年1月15日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間 地下層
RPPNMLPKPHLFFBP76EA,34,97.75,住家用,加強磚造,71年2月18日,二層,一層 二層 電梯樓梯間
RPQNMLSKPHLFFAP07EA,,187.92,住家用,鋼筋混凝土造,105年1月27日,三層,一層 二層 三層
RPTNMLMLPHLFFEP07CA,17,186.22,住家用,鋼筋混凝土造,88年12月29日,三層,一層 二層 三層 電梯樓梯間
RPWNMLNKPHLFFEP37CA,17,15.44,見其他登記事項,,88年6月3日,十層,
RPWNMLNKPHLFFEP37CA,17,93.96,見其他登記事項,鋼筋混凝土造,88年6月3日,十層,二層
RPWNMLNKPHLFFEP37CA,17,.24,見其他登記事項,鋼筋混凝土造,88年6月3日,一層,
RPWNMLNKPHLFFEP37CA,17,48.67,見其他登記事項,鋼筋混凝土造,88年6月3日,10,
RPUNMLSKPHLFFDP57CA,1,233.18,住家用,鋼筋混凝土造,104年7月16日,四層,一層 二層 三層 四層
RPPNMLKLPHLFFDP98CA,,215.94,見其他登記事項,鋼筋混凝土造,105年5月24日,三層,一層 二層 三層
RPQNMLKLPHLFFDP09CA,,215.94,見其他登記事項,鋼筋混凝土造,105年5月24日,三層,一層 二層 三層
RPRNMLKLPHLFFDP56CA,,215.94,見其他登記事項,鋼筋混凝土造,105年5月24日,三層,一層 二層 三層
RPSNMLKLPHLFFDP66CA,,215.94,見其他登記事項,鋼筋混凝土造,105年5月24日,三層,一層 二層 三層
RPPNMLPKPHLFFDP76CA,19,67.89,住家用,鋼筋混凝土造,86年10月3日,九層,九層
RPPNMLPKPHLFFDP76CA,19,48.68,共有部份,鋼筋混凝土造,86年10月13日,九層,
RPPNMLPKPHLFFDP76CA,19,7.80,共有部份,鋼筋混凝土造,86年10月3日,九層,
RPQNMLPKPHLFFDP86CA,17,97.61,住家用,鋼筋混凝土造,88年7月30日,十四層,七層
RPQNMLPKPHLFFDP86CA,17,34.58,共有部份,鋼筋混凝土造,88年7月30日,十四層,
RPQNMLPKPHLFFDP86CA,17,1.92,住家用,鋼筋混凝土造,88年7月30日,十四層,
RPQNMLPKPHLFFDP86CA,17,11.16,見其他登記事項,鋼筋混凝土造,88年7月30日,十四層,
RPRNMLMLPHLFFDP76CA,37,91.34,住商用,鋼筋混凝土造,68年12月15日,二層,一層 二層 騎樓
RPSNMLMLPHLFFDP86CA,19,304.10,見其他登記事項,鋼筋混凝土造,86年6月26日,四層,一層 二層 三層 四層 騎樓 電梯樓梯間
RPSNMLTJQHLFFAP17CA,22,114.47,住家用,鋼筋混凝土造,83年11月15日,十二層,三層
RPSNMLTJQHLFFAP17CA,22,18.15,共同部份,鋼筋混凝土造,83年11月15日,十二層,
RPSNMLTJQHLFFAP17CA,22,20.73,共同部份,鋼筋混凝土造,83年11月15日,十二層,
RPWOMLOJQHLFFAP17CA,19,27.77,住家用,鋼筋混凝土造,86年5月15日,十六層,五層
RPWOMLOJQHLFFAP17CA,19,9.13,共同部份,鋼筋混凝土造,86年5月15日,十六層,
RPWOMLOJQHLFFAP17CA,19,4.42,共同部份,鋼筋混凝土造,86年5月15日,十六層,
RPQNMLOKPHLFFAP09CA,46,121.25,住商用,見其他登記事項,59年9月16日,二層,一層 二層
RPVNMLOKPHLFFAP96CA,21,75.17,住家用,鋼筋混凝土造,84年11月21日,九層,二層
RPVNMLOKPHLFFAP96CA,21,14.94,共同部份,鋼筋混凝土造,84年11月21日,九層,
RPVNMLOKPHLFFAP96CA,21,17.48,共同部份,鋼筋混凝土造,84年11月21日,九層,
RPRNMLPKPHLFFAP66CA,2,378.11,住家用,鋼筋混凝土造,103年11月3日,四層,一層 二層 三層 四層
RPPNMLQKPHLFFAP56CA,6,256.80,住家用,鋼筋混凝土造,99年4月2日,四層,一層 二層 三層 四層
RPXNMLLLPHLFFAP96CA,1,185.13,見其他登記事項,鋼筋混凝土造,104年8月10日,三層,一層 二層 三層 屋頂突出物
RPPNMLOLPHLFFAP09CA,,176.98,住家用,鋼筋混凝土造,105年3月10日,三層,一層 二層 三層
RPXOMLOJQHLFFAP27CA,21,154.35,住家用,鋼筋混凝土造,84年1月2日,三層,一層 二層 三層 電梯樓梯間
RPVNMLNJQHLFFAP86CA,9,183.79,住家用,鋼筋混凝土造,96年2月8日,三層,一層 二層 三層 電梯樓梯間
RPVNMLSKPHLFFAP37CA,2,205.80,見其他登記事項,鋼筋混凝土造,103年12月30日,三層,一層 二層 三層 屋頂突出物
RPPNMLQKPHLFFBP66CA,36,77.50,住商用,加強磚造,69年4月21日,二層,一層 二層
RPPNMLSJQHLFFDP07CA,1,193.32,見其他登記事項,鋼筋混凝土造,104年3月11日,三層,一層 二層 三層 電梯樓梯間
RPTNMLSKPHLFFDP47CA,1,233.18,住家用,鋼筋混凝土造,104年7月16日,四層,一層 二層 三層 四層
RPQNMLQKPHLFFCP86CA,36,126.58,住家用,加強磚造,69年11月25日,二層,一層 二層 騎樓
RPPNMLMLPHLFFDP66DA,17,114.06,住家用,鋼筋混凝土造,88年7月30日,十四層,十三層
RPPNMLMLPHLFFDP66DA,17,36.89,共有部份,鋼筋混凝土造,88年7月30日,十四層,
