鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
內湖區,房地(土地+建物),臺北市內湖區內湖路一段323巷1~30號,28.27,住,,,1050623,土地2建物1車位0,一層,五層,公寓(5樓含以下無電梯),住商用,鋼筋混凝土造,0701214,105.69,2,3,2,有,無,27000000,255464,,0.0,0,,RPOQMLSKPHLFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區南京東路六段451巷1~30號,37.25,其他,,,1050622,土地1建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0981208,184.82,2,2,2,有,有,30000000,162320,坡道平面,33.47,0,,RPSQMLSKPHLFFCA68CA
內湖區,房地(土地+建物)+車位,臺北市內湖區環山路一段31~60號,65.14,工,,,1050602,土地1建物1車位1,六層,十四層,其他,見其他登記事項,鋼筋混凝土造,0960621,263.22,3,2,2,有,有,38500000,146265,坡道平面,29.63,0,,RPSNMLPLPHLFFCA18CA
信義區,房地(土地+建物),臺北市信義區忠孝東路五段781~810號,7.4,其他,,,1050522,土地3建物1車位0,六層,十三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960103,41.78,1,1,1,有,有,9850000,235759,,0.0,0,含增建或未登記建物。,RPUOMLLJPHLFFDA97CA
南港區,房地(土地+建物),臺北市南港區福德街310巷24弄1~30號,34.88,住,,,1050606,土地2建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650413,91.2,3,2,1,有,無,11380000,124781,,0.0,0,含增建或未登記建物。,RPRPMLLJPHLFFDA77CA
松山區,房地(土地+建物),臺北市松山區光復南路13巷31~60號,22.12,住,,,1050522,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0670807,125.17999999999999,3,2,2,有,有,26300000,210097,,0.0,0,,RPTPMLLJPHLFFDA97CA
信義區,房地(土地+建物)+車位,臺北市信義區信安街103巷1~30號,78.26,住,,,1050428,土地1建物1車位2,一層,五層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1021022,272.27,2,4,2,有,有,42000000,154259,升降平面,78.94,0,含增建或未登記建物。,RPUPMLLJPHLFFDA08CA
松山區,房地(土地+建物),臺北市松山區健康路35巷1~30號,35.23,住,,,1050524,土地1建物1車位0,六層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0860728,157.26,2,2,2,有,有,31500000,200305,,0.0,0,含增建或未登記建物。,RPWOMLQJPHLFFDA68CA
松山區,房地(土地+建物),臺北市松山區民權東路三段160巷1~30號,8.42,住,,,1050620,土地1建物1車位0,三層，四層,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0690801,35.5,3,2,2,有,有,4550000,128169,,0.0,0,二親等間買賣。,RPUNMLRKPHLFFDA58CA
士林區,房地(土地+建物),臺北市士林區重慶北路四段49巷15弄31~60號,16.57,住,,,1050528,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670719,73.25,2,2,1,有,無,8800000,120137,,0.0,0,價格含增建,RPPNMLMJPHLFFEA57CA
