鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
花蓮市,房地(土地+建物),花蓮縣花蓮巿富裕五街61~90號,9.5,住,,,1050701,土地1建物1車位0,五層,5,套房(1房1廳1衛),住家用,鋼筋混凝土造,0830610,33.46,1,0,1,有,無,有,6500,194,,0.0,0,,RPUNMLPJPHLFFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿國富十街121~150號,67.2,住,,,1050608,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850130,62.59,2,1,1,有,有,有,8500,136,,0.0,0,,RPSNMLQJPHLFFAU47CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉仁里三街61~90號,16.19,住,,,1050618,土地1建物1車位0,三層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860620,61.89,1,1,1,有,有,有,8500,137,,0.0,0,,RPUNMLQJPHLFFAU67CC
花蓮市,房地(土地+建物),花蓮縣吉安鄉中央路三段721~750號,5.62,住,,,1050620,土地1建物1車位0,四層,11,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840819,38.0,1,0,1,有,有,有,6000,158,,0.0,0,,RPVNMLQJPHLFFAU77CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南埔八街31~60號,23.21,住,,,1050607,土地1建物1車位0,二層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850611,106.38,3,2,2,有,有,有,13000,122,,0.0,0,,RPSOMLLKPHLFFAU17CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉昌隆三街61~90號,23.47,住,,,1050713,土地1建物1車位0,二層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0821215,113.53,1,2,2,有,無,無,8000,70,,0.0,0,租賃1~2樓,RPRPMLNKPHLFFAU37CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿國聯二路91~120號,35.5,住,,,1050713,土地1建物1車位0,一層,4,店面(店鋪),住商用,鋼筋混凝土造,0940712,90.64,0,0,0,無,無,無,19000,210,,0.0,0,,RPSNMLOKPHLFFAU37CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿國聯二路91~120號,106.5,住,,,1050713,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0940712,248.93,3,2,4,有,無,無,41000,165,,0.0,0,,RPUNMLOKPHLFFAU57CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿林森路211~240號,124.0,住,,,1050711,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0720516,324.43,0,0,0,無,無,無,18000,55,,0.0,0,,RPTNMLPKPHLFFAU57CC
