編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPXOMLOJPHLFFBF88CA,,31.19,見其他登記事項,鋼筋混凝土造,105年3月23日,二十七層,
RPXOMLOJPHLFFBF88CA,,39.97,見其他登記事項,鋼筋混凝土造,105年3月23日,二十七層,
RPSNMLPJPHLFFBF38CA,8,99.46,住家用,鋼筋混凝土造,97年7月29日,十九層,十六層
RPSNMLPJPHLFFBF38CA,8,4.78,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPSNMLPJPHLFFBF38CA,8,1.86,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPSNMLPJPHLFFBF38CA,8,7.35,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPSNMLPJPHLFFBF38CA,8,31.43,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPSNMLPJPHLFFBF38CA,8,4.05,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPSNMLPJPHLFFBF38CA,8,39.18,共有部分,鋼筋混凝土造,97年7月29日,十九層,
RPSOMLPJPHLFFBF48CA,17,42.36,共有部分,鋼筋混凝土造,88年5月3日,八層,
RPPRMLQJPHLFFBF58CA,41,66.38,住家用,加強磚造,64年5月7日,四層,二層 陽台
RPUSMLQJPHLFFBF56CA,2,93.49,見其他登記事項,鋼筋混凝土造,103年11月20日,十九層,三層
RPUSMLQJPHLFFBF56CA,2,19.07,見其他登記事項,鋼筋混凝土造,103年11月20日,十九層,
RPUSMLQJPHLFFBF56CA,2,55.92,見其他登記事項,鋼筋混凝土造,103年11月20日,十九層,
RPXSMLQJPHLFFBF86CA,20,65.23,住家用,鋼筋混凝土造,85年3月18日,十六層,十層
RPXSMLQJPHLFFBF86CA,20,10.26,共有部分,鋼筋混凝土造,85年3月18日,十六層,
RPXSMLQJPHLFFBF86CA,20,15.15,共有部分,鋼筋混凝土造,85年3月18日,十六層,
RPXSMLQJPHLFFBF86CA,20,1.28,共有部分,鋼筋混凝土造,85年3月18日,十六層,
RPVUMLRJPHLFFBF96CA,39,72.90,住家用,鋼筋混凝土造,66年8月16日,四層,二層 陽台
RPSNMLLKPHLFFBF08CA,41,66.38,住家用,加強磚造,64年5月7日,四層,三層 陽台
RPSNMLLKPHLFFBF08CA,41,66.38,住家用,加強磚造,64年5月7日,四層,四層 陽台
RPROMLLKPHLFFBF08CA,9,88.93,住家用,鋼筋混凝土造,96年9月27日,十五層,七層
RPROMLLKPHLFFBF08CA,9,67.75,共有部分,鋼筋混凝土造,96年9月27日,十五層,
RPVOMLLKPHLFFBF48CA,11,76.98,住家用,鋼筋混凝土造,94年11月23日,十三層,四層
RPVOMLLKPHLFFBF48CA,11,47.12,共有部分,鋼筋混凝土造,94年11月23日,十三層,
RPUQMLLKPHLFFBF58CA,1,186.64,見其他登記事項,鋼筋混凝土造,103年11月20日,十九層,十二層
RPUQMLLKPHLFFBF58CA,1,36.82,見其他登記事項,鋼筋混凝土造,103年11月20日,十九層,
RPUQMLLKPHLFFBF58CA,1,80.65,見其他登記事項,鋼筋混凝土造,103年11月20日,十九層,
RPVQMLLKPHLFFBF68CA,11,73.18,住家用,鋼筋混凝土造,94年9月2日,十層,十層
RPVQMLLKPHLFFBF68CA,11,27.04,共有部分,鋼筋混凝土造,94年9月2日,十層,
RPWNMLMKPHLFFBF58CA,39,67.92,住家用,鋼筋混凝土造,66年11月1日,四層,一層 平台
RPOOMLMKPHLFFBF87CA,1,34.18,見其他登記事項,鋼筋混凝土造,104年6月1日,二十一層,
RPOOMLMKPHLFFBF87CA,1,83.56,見其他登記事項,鋼筋混凝土造,104年6月1日,二十一層,十八層
RPOOMLMKPHLFFBF87CA,1,.00,見其他登記事項,鋼筋混凝土造,104年6月1日,二十一層,
RPOOMLMKPHLFFBF87CA,1,42.46,見其他登記事項,鋼筋混凝土造,104年6月1日,二十一層,
RPOOMLMKPHLFFBF87CA,1,.04,見其他登記事項,鋼筋混凝土造,104年6月1日,二十一層,一層
RPROMLPKPHLFFBF48CA,22,78.89,住家用,鋼筋混凝土造,83年7月7日,六層,三層
RPROMLPKPHLFFBF48CA,22,12.49,共有部分,鋼筋混凝土造,83年7月7日,六層,
RPUNMLQKPHLFFBF78CA,7,58.26,住家用,鋼筋混凝土造,98年6月4日,十四層,十四層
RPUNMLQKPHLFFBF78CA,7,40.98,共有部分,鋼筋混凝土造,98年6月4日,十五層,
RPUNMLQKPHLFFBF78CA,7,13.72,共有部分,鋼筋混凝土造,98年6月4日,十五層,
RPSOMLSKPHLFFBF88CA,19,66.05,住家用,鋼筋混凝土造,86年3月6日,十層,八層 夾層
RPSOMLSKPHLFFBF88CA,19,2.65,共有部分,鋼筋混凝土造,86年3月6日,十層,
RPSOMLSKPHLFFBF88CA,19,16.74,共有部分,鋼筋混凝土造,86年3月6日,十一層,
RPXPMLTKPHLFFBF96CA,36,76.25,商業用,鋼筋混凝土造,68年12月22日,四層,一層 平台 騎樓 停車場
RPVNMLKLPHLFFBF38CA,1,51.48,見其他登記事項,鋼筋混凝土造,104年11月16日,十五層,八層
RPVNMLKLPHLFFBF38CA,1,31.18,見其他登記事項,鋼筋混凝土造,104年11月16日,十五層,
RPVNMLKLPHLFFBF38CA,1,10.89,見其他登記事項,鋼筋混凝土造,104年11月16日,十五層,
SPVNMLKLPHLFFBF48CA,1,51.55,見其他登記事項,鋼筋混凝土造,104年11月16日,十五層,十三層
SPVNMLKLPHLFFBF48CA,1,32.03,見其他登記事項,鋼筋混凝土造,104年11月16日,十五層,
SPVNMLKLPHLFFBF48CA,1,10.91,見其他登記事項,鋼筋混凝土造,104年11月16日,十五層,
RPWNMLKLPHLFFBF48CA,1,51.48,見其他登記事項,鋼筋混凝土造,104年11月16日,十五層,八層
RPWNMLKLPHLFFBF48CA,1,31.18,見其他登記事項,鋼筋混凝土造,104年11月16日,十五層,
RPWNMLKLPHLFFBF48CA,1,10.89,見其他登記事項,鋼筋混凝土造,104年11月16日,十五層,
SPWNMLKLPHLFFBF58CA,1,51.55,見其他登記事項,鋼筋混凝土造,104年11月16日,十五層,十三層
SPWNMLKLPHLFFBF58CA,1,32.03,見其他登記事項,鋼筋混凝土造,104年11月16日,十五層,
SPWNMLKLPHLFFBF58CA,1,10.91,見其他登記事項,鋼筋混凝土造,104年11月16日,十五層,
