編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPPNMLMJPHLFFAG97CC,廣安段,110.98,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMJPHLFFAG08CC,新群一段,45.20,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPRNMLMJPHLFFAG18CC,季新段,53.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLMKPHLFFAG18CC,義成四段,51.00,都市：住
RPQOMLMKPHLFFBG38CC,宜商段,.00,都市：住
RPRNMLNKPHLFFBG48CC,進士段,147.03,都市：住
RPUNMLPKPHLFFBG98CC,艮門一段,.00,都市：商
RPUNMLPKPHLFFBG98CC,艮門一段,.00,都市：住
