鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
朴子市,房地(土地+建物),嘉義縣朴子市朴子三路169巷1~30號,6.54,商,,,1050628,土地1建物1車位0,八層,10,套房(1房1廳1衛),住家用,鋼筋混凝土造,0941003,33.02,1,0,1,有,有,有,3500,106,,0.0,0,,RPQNMLLJPHLFFBQ09CC
太保市,房地(土地+建物),嘉義縣太保巿太保二路31~60號,30.53,住,,,1050627,土地1建物1車位0,七層,9,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0850207,148.19,4,2,2,有,有,有,12000,81,,0.0,0,,RPRNMLLJPHLFFDQ76CC
太保市,房地(土地+建物),嘉義縣太保巿頂港子墘1~30號,91.16,,鄉村區,乙種建築用地,1050623,土地2建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0930415,173.22,4,2,3,有,無,有,12000,69,,0.0,0,,RPOOMLOKPHLFFDQ96CC
太保市,房地(土地+建物),嘉義縣太保巿太保路31~60號,68.04,住,,,1050702,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0830408,180.46,4,3,2,有,無,有,11000,61,,0.0,0,,RPPOMLOKPHLFFDQ07CC
