編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
RPXOMLMKPHLFFIF07CC,仁愛段,10.20,都市：住
RPOPMLMKPHLFFIF88CC,大學段二小段,14.56,都市：商
RPRPMLMKPHLFFIF56CC,大同段,117.00,都市：工
RPVOMLMKPHLFFAF88EC,江子翠段第二崁小段,46.18,都市：住
RPXNMLMKPHLFFGF76CC,中興段,.00,都市：工
RPXNMLMKPHLFFGF76CC,中興段,.00,都市：工
RPUOMLMKPHLFFDF88CC,昊天段,.00,都市：工
RPUOMLMKPHLFFDF88CC,同新段,.00,都市：工
RPOPMLMKPHLFFDF38CC,金龍段,.39,都市：其他
RPOPMLMKPHLFFDF38CC,金龍段,.45,非都市：山坡地保育區 ; 非都市編定：丙種建築用地
RPOPMLMKPHLFFDF38CC,金龍段,.01,都市：其他
RPOPMLMKPHLFFDF38CC,金龍段,.01,都市：其他
RPXNMLMKPHLFFEF56CC,公司田段,10.96,都市：住
RPQOMLMKPHLFFEF58CC,鄧公段,41.50,都市：住
RPXOMLMKPHLFFEF66CC,埤頭段,565.56,都市：工
RPQPMLMKPHLFFEF68CC,海天段,4.92,都市：住
RPRPMLMKPHLFFEF78CC,海天段,36.00,都市：住
RPSPMLMKPHLFFEF88CC,新巿段,21.56,都市：住
RPUPMLMKPHLFFEF09CC,新巿段,24.95,都市：住
RPWPMLMKPHLFFEF66CC,公司田段,23.16,都市：住
RPXPMLMKPHLFFEF76CC,馬偕段,5.78,都市：工
RPOQMLMKPHLFFEF58CC,公司田段,28.95,都市：住
RPPQMLMKPHLFFEF68CC,長興段,4.81,都市：住
RPPQMLMKPHLFFEF68CC,長興段,.16,都市：其他
RPSQMLMKPHLFFBF68CC,力行段,40.54,都市：商
RPTQMLMKPHLFFBF78CC,麗林段,31.88,都市：商
RPROMLNKPHLFFBF48CC,立言段,24.83,都市：住
RPSNMLNKPHLFFDF68CC,智興段,.00,都市：住
RPQOMLNKPHLFFGF88CC,中興段,.00,都市：工
RPXOMLNKPHLFFGF96CC,興德段,.00,都市：工
RPTNMLNKPHLFFDF88DC,福德段,1894.41,都市：住
RPSPMLNKPHLFFEF09DC,新巿段,.00,非都市： ; 非都市編定：
RPTOMLNKPHLFFHF86EC,民樂段,.09,都市：其他
RPTOMLNKPHLFFHF86EC,民樂段,9.91,都市：住
RPXNMLNKPHLFFIF07CC,大學段一小段,106.14,都市：住
RPVNMLNKPHLFFAF68CC,光仁段,.00,都市：商
RPVNMLNKPHLFFAF68CC,光仁段,.00,都市：商
RPSNMLOKPHLFFAF48CC,國光段,.00,都市：住
RPSNMLOKPHLFFAF48CC,國光段,.00,都市：住
RPTNMLOKPHLFFAF58CC,金城段,3.55,都市：住
RPPOMLOKPHLFFAF28CC,新興段,.00,都市：住
RPROMLOKPHLFFAF48CC,府中段,.00,都市：商
RPTOMLOKPHLFFIF86CC,北園段,371.69,非都市：一般農業區 ; 非都市編定：丁種建築用地
RPTOMLOKPHLFFIF86CC,北園段,74.22,非都市：一般農業區 ; 非都市編定：國土保安用地
RPSNMLOKPHLFFHF56CC,四維段,9.56,都市：住
RPOOMLOKPHLFFHF88CC,水源段,.00,都市：商
RPROMLOKPHLFFHF56CC,大智段,.00,都市：住
RPSOMLOKPHLFFHF66CC,保健段,.00,都市：住
RPTOMLOKPHLFFHF76CC,南山段,.00,都市：其他
RPVOMLOKPHLFFHF96CC,中興段,.00,都市：住
RPVOMLOKPHLFFHF96CC,中興段,.00,都市：住
RPVOMLOKPHLFFHF96CC,中興段,.00,都市：住
RPQPMLOKPHLFFHF56CC,公園段,20.20,都市：住
RPSPMLOKPHLFFHF76CC,永平段,.00,都市：住
RPTPMLOKPHLFFHF86CC,新和段,.00,都市：住
RPVPMLOKPHLFFHF07CC,三民段,.00,都市：住
RPWPMLOKPHLFFHF17CC,捷運段,.00,都市：其他
RPXPMLOKPHLFFHF27CC,景華段,18.49,都市：住
RPOQMLOKPHLFFHF09CC,圓通段,10.19,都市：住
RPQOMLOKPHLFFIF76EC,和平段,2.01,都市：住
RPQOMLOKPHLFFIF76EC,和平段,29.09,都市：住
RPQOMLOKPHLFFIF76EC,和平段,20.46,都市：住
RPQOMLOKPHLFFGF98CC,重新段壹小段,.00,都市：住
RPVNMLOKPHLFFAF88DC,公館段,7.79,都市：住
RPSNMLOKPHLFFDF78CC,金龍段,65.60,都市：住
RPSNMLOKPHLFFDF78CC,金龍段,129.52,都市：住
RPOOMLOKPHLFFDF48CC,智興段,.00,都市：商
RPOOMLOKPHLFFDF48CC,智興段,.00,都市：住
RPWNMLOKPHLFFBF98CC,中原段,.00,都市：住
RPSOMLOKPHLFFBF68CC,五工段,2401.97,非都市：工業區 ; 非都市編定：丁種建築用地
RPUOMLOKPHLFFBF88CC,中山段,.00,非都市： ; 非都市編定：
RPOOMLPKPHLFFBF38CC,建林段,10.09,都市：住
RPQOMLPKPHLFFBF58CC,副都心段一小段,24.11,都市：商
RPQNMLPKPHLFFDF68CC,智興段,.00,都市：商
RPSPMLPKPHLFFEF76EC,紅毛城段,.00,非都市： ; 非都市編定：
RPTPMLPKPHLFFEF86EC,米倉段,19.96,都市：住
RPUNMLPKPHLFFIF96CC,民族段,49.75,都市：住
RPUNMLPKPHLFFIF96CC,民族段,11.60,都市：住
RPTPMLPKPHLFFIF07CC,大安段,.00,都市：工
RPROMLPKPHLFFAF58CC,光環段,.00,都市：住
RPVOMLPKPHLFFAF98CC,員福段,102.00,都市：商
RPOPMLPKPHLFFAF38CC,新板段二小段,4.51,都市：其他
