編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQPMLQJPHLFFDF09EC,5,67.46,住家用,鋼筋混凝土造,100年12月23日,二十九層,
RPQRMLQJPHLFFEF76EC,4,90.22,見其他登記事項,鋼筋混凝土造,101年11月15日,十五層,
RPRRMLQJPHLFFEF86EC,6,55.86,見其他登記事項,鋼筋混凝土造,99年4月16日,十四層,
RPWNMLQJPHLFFHF07CC,41,59.00,住家用,加強磚造,64年6月15日,四層,
RPXWMLQJPHLFFEF77CC,1,88.44,住家用,鋼筋混凝土造,104年5月15日,十五層,
RPWOMLQJPHLFFBF56CC,4,137.83,見其他登記事項,鋼筋混凝土造,101年10月15日,十四層,
RPWOMLQJPHLFFBF56CC,4,15.06,見其他登記事項,鋼筋混凝土造,101年10月15日,十四層,
RPWOMLQJPHLFFBF56CC,4,83.81,見其他登記事項,鋼筋混凝土造,101年10月15日,十四層,
RPURMLQJPHLFFBF66CC,7,42.23,見其他登記事項,鋼筋混凝土造,98年9月21日,十一層,
RPURMLQJPHLFFBF66CC,7,19.91,共有部分,鋼筋混凝土造,98年9月21日,十二層,
RPPTMLQJPHLFFBF98CC,28,109.54,住家用,鋼筋混凝土造,77年4月26日,五層,
RPVTMLRJPHLFFBF07CC,17,25.79,住家用,鋼筋混凝土造,88年5月3日,十四層,
RPVTMLRJPHLFFBF07CC,17,4.91,共有部分,鋼筋混凝土造,88年5月3日,十四層,
RPVTMLRJPHLFFBF07CC,17,4.63,共有部分,鋼筋混凝土造,88年5月3日,十四層,
RPXTMLRJPHLFFBF27CC,1,54.75,見其他登記事項,鋼筋混凝土造,104年6月1日,二十一層,
RPXTMLRJPHLFFBF27CC,1,27.77,見其他登記事項,鋼筋混凝土造,104年6月1日,二十一層,
RPQUMLRJPHLFFBF66CC,2,116.24,見其他登記事項,鋼筋混凝土造,103年8月26日,二十四層,
RPQUMLRJPHLFFBF66CC,2,23.56,見其他登記事項,鋼筋混凝土造,103年8月26日,二十五層,
RPQUMLRJPHLFFBF66CC,2,42.47,見其他登記事項,鋼筋混凝土造,103年8月26日,二十五層,
RPQUMLRJPHLFFBF66CC,2,39.61,見其他登記事項,鋼筋混凝土造,103年8月26日,二十五層,
RPQUMLRJPHLFFBF66CC,2,3.29,見其他登記事項,鋼筋混凝土造,103年8月26日,二十五層,
RPRUMLRJPHLFFBF76CC,2,74.62,見其他登記事項,鋼筋混凝土造,103年4月15日,十九層,
RPRUMLRJPHLFFBF76CC,2,49.24,見其他登記事項,鋼筋混凝土造,103年4月15日,十九層,
RPRUMLRJPHLFFBF76CC,2,16.79,見其他登記事項,鋼筋混凝土造,103年4月15日,十九層,
RPUUMLRJPHLFFBF07CC,4,110.20,見其他登記事項,鋼筋混凝土造,101年7月10日,十七層,
RPUUMLRJPHLFFBF07CC,4,47.24,見其他登記事項,鋼筋混凝土造,101年7月10日,十七層,
RPVNMLRJPHLFFEF76CC,1,91.88,住家用,鋼筋混凝土造,104年10月1日,十五層,
RPWNMLRJPHLFFEF86CC,38,86.00,住家用,鋼筋混凝土造,67年4月6日,四層,
RPROMLRJPHLFFEF09CC,1,219.39,住家用,鋼筋混凝土造,104年8月19日,十五層,
RPXPMLRJPHLFFEF17CC,6,69.53,住家用,鋼骨鋼筋混凝土造,99年9月10日,二十七層,
RPXPMLRJPHLFFEF17CC,6,33.57,見其他登記事項,鋼骨鋼筋混凝土造,99年9月10日,二十七層,
RPPNMLRJPHLFFDF68CC,20,43.86,住家用,鋼筋混凝土造,85年6月27日,十五層,
RPQPMLRJPHLFFDF98CC,25,118.36,住家用,鋼筋混凝土造,80年12月16日,五層,
RPQPMLRJPHLFFDF98CC,25,5.02,共有部分,鋼筋混凝土造,80年12月16日,五層,
RPVNMLRJPHLFFHF07CC,20,87.08,住家用,鋼筋混凝土造,85年1月13日,十一層,
RPVNMLRJPHLFFHF07CC,20,10.35,共有部分,鋼筋混凝土造,85年1月13日,十一層,
RPVNMLRJPHLFFHF07CC,20,34.41,共有部分,鋼筋混凝土造,85年1月13日,十一層,
RPROMLRJPHLFFHF76CC,7,90.39,住家用,鋼筋混凝土造,98年1月19日,十五層,
RPROMLRJPHLFFHF76CC,7,28.53,共有部分,鋼筋混凝土造,98年1月19日,十五層,
RPTPMLRJPHLFFHF07CC,27,136.90,住家用,鋼筋混凝土造,78年2月3日,十一層,
RPTPMLRJPHLFFHF07CC,27,26.75,共有部分,鋼筋混凝土造,78年2月3日,十一層,
RPTPMLRJPHLFFHF07CC,27,17.16,共有部分,鋼筋混凝土造,78年2月3日,十一層,
RPXOMLRJPHLFFIF47CC,18,833.50,工業用,見其他登記事項,87年7月17日,二層,
RPQNMLRJPHLFFAF48CC,36,78.40,住家用,鋼筋混凝土造,69年10月2日,四層,
RPRNMLRJPHLFFAF58CC,,23.33,商業用,鋼筋混凝土造,,三層,
RPRPMLRJPHLFFAF98EC,38,71.85,住家用,鋼筋混凝土造,67年2月18日,四層,
RPQQMLRJPHLFFCF98CC,37,88.28,住家用,鋼筋混凝土造,68年12月14日,五層,
RPVOMLRJPHLFFGF07CC,6,33.97,住家用,鋼筋混凝土造,99年3月4日,十七層,
RPVOMLRJPHLFFGF07CC,6,2.68,見其他登記事項,鋼筋混凝土造,99年3月4日,十七層,
RPVOMLRJPHLFFGF07CC,6,12.12,見其他登記事項,鋼筋混凝土造,99年3月4日,十七層,
RPVOMLRJPHLFFGF07CC,6,3.92,見其他登記事項,鋼筋混凝土造,99年3月4日,十七層,
RPPNMLSJPHLFFGF66EC,17,39.33,停車空間,鋼筋混凝土造,87年10月31日,十七層,
RPPNMLTJPHLFFDF88CC,19,79.58,住家用,鋼筋混凝土造,86年7月3日,二十六層,
RPPNMLKKPHLFFDF08CC,5,56.44,住家用,鋼筋混凝土造,100年12月23日,二十九層,
RPRNMLKKPHLFFBF08CC,2,63.24,見其他登記事項,鋼筋混凝土造,103年3月27日,十三層,
RPRNMLKKPHLFFBF08CC,2,12.87,見其他登記事項,鋼筋混凝土造,103年3月27日,十三層,
RPRNMLKKPHLFFBF08CC,2,41.86,見其他登記事項,鋼筋混凝土造,103年3月27日,十三層,
RPPOMLLKPHLFFBF08CC,26,184.89,工業用,鋼筋混凝土造,79年2月7日,八層,
RPPOMLLKPHLFFBF08CC,26,106.13,共有部分,鋼筋混凝土造,79年2月7日,八層,
RPRPMLLKPHLFFBF38CC,16,112.87,住家用,鋼筋混凝土造,89年7月18日,十四層,
RPRPMLLKPHLFFBF38CC,16,14.59,共有部分,鋼筋混凝土造,89年7月18日,十四層,
RPRPMLLKPHLFFBF38CC,16,10.12,共有部分,鋼筋混凝土造,89年7月18日,十四層,
RPRPMLLKPHLFFBF38CC,16,43.47,共有部分,鋼筋混凝土造,89年7月18日,十四層,
RPRQMLLKPHLFFBF48CC,11,54.56,住家用,鋼筋混凝土造,94年10月21日,十二層,
RPRQMLLKPHLFFBF48CC,11,46.20,共有部分,鋼筋混凝土造,94年10月21日,十三層,
RPSQMLLKPHLFFBF58CC,36,90.05,住家用,鋼筋混凝土造,69年8月1日,五層,
RPQRMLLKPHLFFBF48CC,1,83.56,見其他登記事項,鋼筋混凝土造,104年6月1日,二十一層,
RPQRMLLKPHLFFBF48CC,1,42.46,見其他登記事項,鋼筋混凝土造,104年6月1日,二十一層,
RPRRMLLKPHLFFBF58CC,10,82.21,見其他登記事項,鋼筋混凝土造,95年10月5日,二十二層,
