編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPSOMLLJPHLFFCC08CC,38,91.89,商業用,鋼筋混凝土加強磚造,67年12月2日,四層,
RPVNMLQJPHLFFCC78CC,21,96.62,住家用,鋼筋混凝土造,84年8月11日,五層,
RPTNMLOKPHLFFCC58DC,22,231.39,商業用,鋼筋混凝土造,83年10月7日,七層,
