編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPQNMLNKPHLFFBQ56CA,23,124.37,住商用,鋼筋混凝土造,82年8月4日,三層,一層 二層 三層 騎樓
RPPNMLNJQHLFFBQ09CA,11,17.73,住家用,鋼筋混凝土造,94年10月3日,十層,四層
RPTNMLMKPHLFFDQ96CA,21,96.59,見其他登記事項,鋼筋混凝土造,84年9月8日,十二層,九層
RPRNMLPKPHLFFCQ96CA,34,102.79,住家用,鋼筋混凝土加強磚造,70年12月17日,二層,一層 二層 電梯樓梯間
RPPNMLOLPHLFFEQ96CA,20,213.68,住家用,鋼筋混凝土造,85年10月4日,五層,一層 二層 三層 四層 五層
RPUNMLMKPHLFFCQ17EA,39,99.46,住家用,鋼筋混凝土加強磚造,66年1月31日,二層,一層 二層
RPVNMLMKPHLFFCQ27EA,33,.04,共有部份,鋼筋混凝土造,72年3月12日,五層,
RPVNMLMKPHLFFCQ27EA,33,.25,見其他登記事項,鋼筋混凝土造,72年3月12日,五層,一層
RPVNMLMKPHLFFCQ27EA,33,9.31,共有部份,鋼筋混凝土造,72年3月12日,五層,
RPVNMLMKPHLFFCQ27EA,33,61.08,見其他登記事項,鋼筋混凝土造,72年3月12日,五層,三層
RPSNMLMKPHLFFDQ96DA,32,88.71,住家用,鋼筋混凝土加強磚造,73年1月16日,二層,一層 二層
RPPNMLTKPHLFFBQ17DA,57,129.38,住商用,見其他登記事項,48年9月3日,二層,一層 二層 騎樓
RPWNMLMKPHLFFCQ17CA,23,25.31,共有部份,鋼筋混凝土造,82年12月14日,七層,
RPQNMLNKPHLFFCQ66CA,20,67.72,住商用,鋼筋混凝土造,85年12月23日,三層,一層 二層 三層
RPUNMLMKPHLFFDQ07CA,35,110.53,住商用,鋼筋混凝土加強磚造,70年2月25日,二層,一層 二層 騎樓
RPVNMLMKPHLFFDQ17CA,24,203.34,住商用,鋼筋混凝土造,81年8月21日,四層,一層 二層 三層 四層
RPTNMLTLPHLFFDQ77CA,21,150.56,住家用,鋼筋混凝土造,84年4月26日,三層,一層 二層 三層
RPTNMLOJQHLFFDQ17CA,33,720.00,工業用,見其他登記事項,72年12月7日,一層,一層
RPTNMLOJQHLFFDQ17CA,33,153.00,見其他登記事項,鋼筋混凝土造,72年12月7日,一層,地下層
RPTNMLOJQHLFFDQ17CA,33,31.86,見其他登記事項,鋼筋混凝土加強磚造,72年12月7日,一層,一層
RPTNMLOJQHLFFDQ17CA,24,697.06,見其他登記事項,鋼筋混凝土造,81年11月9日,四層,一層 二層 三層 四層 地下層
RPTNMLOJQHLFFDQ17CA,24,5165.60,工業用,鋼造,81年11月9日,一層,一層
RPTNMLOJQHLFFDQ17CA,17,2585.78,見其他登記事項,鋼造,88年1月7日,一層,一層 夾層
RPTNMLOJQHLFFDQ17CA,17,205.87,見其他登記事項,鋼造,88年1月7日,一層,一層
RPRNMLMLPHLFFDQ86CA,24,161.64,住商用,鋼筋混凝土造,81年4月7日,三層,一層 二層 三層 騎樓
RPQNMLLLPHLFFDQ66CA,11,127.96,住家用,鋼筋混凝土造,94年3月3日,三層,一層 二層 三層
RPVNMLPKPHLFFCQ37CA,27,163.25,住家用,鋼筋混凝土造,78年3月31日,三層,一層 二層 三層 騎樓 電梯樓梯間
RPPNMLKKQHLFFCQ09DA,22,87.64,見其他登記事項,鋼筋混凝土造,83年8月10日,七層,七層
RPPNMLKKQHLFFCQ09DA,22,9.72,共有部份,鋼筋混凝土造,83年8月10日,七層,
RPPNMLKKQHLFFCQ09DA,22,13.17,共有部份,鋼筋混凝土造,83年8月10日,七層,
RPQNMLOKPHLFFDQ96DA,1,174.12,見其他登記事項,見其他登記事項,104年12月4日,三層,一層 二層 三層 見其他登記事項
RPWNMLOKPHLFFDQ57DA,38,92.30,住家用,鋼筋混凝土加強磚造,67年3月15日,二層,一層 二層 騎樓
RPPNMLQLPHLFFEQ17CA,21,523.71,農舍,木造,84年10月6日,二層,一層 二層 地下層
RPOOMLOKPHLFFCQ66CA,20,.52,共有部份,鋼筋混凝土造,85年11月15日,地下二層,
RPOOMLOKPHLFFCQ66CA,20,98.12,國民住宅,鋼筋混凝土造,85年11月15日,五層,五層
RPOOMLOKPHLFFCQ66CA,20,9.83,共有部份,鋼筋混凝土造,85年11月15日,五層,
RPSNMLPKPHLFFCQ07CA,21,152.22,住家用,見其他登記事項,84年5月29日,三層,一層 二層 三層 電梯樓梯間
RPSNMLTJQHLFFDQ57CA,1,226.54,住家用,鋼筋混凝土造,104年11月26日,三層,一層 二層 三層 見其他登記事項
RPWNMLSKPHLFFBQ67CA,30,114.47,住家用,鋼筋混凝土加強磚造,75年1月8日,二層,一層 二層 騎樓
RPRNMLSKPHLFFBQ17CA,1,180.39,見其他登記事項,鋼筋混凝土造,104年4月13日,三層,一層 二層 三層 見其他登記事項
RPPNMLSKPHLFFBQ96CA,16,185.43,住家用,鋼筋混凝土造,89年10月3日,三層,一層 二層 三層
RPQNMLTKPHLFFBQ17CA,1,294.25,見其他登記事項,鋼筋混凝土造,104年7月20日,三層,一層 二層 三層
RPQNMLTKPHLFFBQ17CA,1,1.00,見其他登記事項,鋼筋混凝土造,104年1月6日,一層,一層
RPUNMLTJQHLFFDQ77CA,23,86.01,見其他登記事項,鋼筋混凝土造,82年10月6日,九層,四層
RPUNMLTJQHLFFDQ77CA,23,10.91,見其他登記事項,鋼筋混凝土造,82年10月6日,九層,
RPUNMLTJQHLFFDQ77CA,23,13.34,見其他登記事項,鋼筋混凝土造,82年10月6日,9,
RPPNMLPKQHLFFDQ96CA,35,69.30,住家用,鋼筋混凝土加強磚造,70年12月24日,一層,一層
